Id,Code
1,AED
2,AFN
3,ALL
4,AMD
5,ANG
6,AOA
7,ARS
8,AUD
9,AWG
10,AZN
11,BAM
12,BBD
13,BDT
14,BGN
15,BHD
16,BIF
17,BMD
18,BND
19,BOB
20,BRL
21,BSD
22,BTN
23,BWP
24,BYN
25,BZD
26,CAD
27,CDF
28,CHF
29,CLP
30,CNY
31,COP
32,CRC
33,CUP
34,CVE
35,CZK
36,DJF
37,DKK
38,DOP
39,DZD
40,EGP
41,ERN
42,ETB
43,EUR
44,FJD
45,FKP
46,FOK
47,GBP
48,GEL
49,GHS
50,GIP
51,GMD
52,GNF
53,GTQ
54,GYD
55,HKD
56,HNL
57,HRK
58,HTG
59,HUF
60,IDR
61,ILS
62,INR
63,IQD
64,IRR
65,ISK
66,JMD
67,JOD
68,JPY
69,KES
70,KGS
71,KHR
72,KID
73,KRW
74,KWD
75,KYD
76,KZT
77,LAK
78,LBP
79,LKR
80,LRD
81,LSL
82,LYD
83,MAD
84,MDL
85,MGA
86,MKD
87,MMK
88,MNT
89,MOP
90,MRU
91,MUR
92,MVR
93,MWK
94,MXN
95,MYR
96,MZN
97,NAD
98,NGN
99,NIO
100,NOK
101,NPR
102,NZD
103,OMR
104,PAB
105,PEN
106,PGK
107,PHP
108,PKR
109,PLN
110,PYG
111,QAR
112,RON
113,RSD
114,RUB
115,RWF
116,SAR
117,SBD
118,SCR
119,SEK
120,SGD
121,SHP
122,SLL
123,SOS
124,SRD
125,SSP
126,STN
127,SVC
128,SYP
129,SZL
130,THB
131,TJS
132,TKM
133,TND
134,TOP
135,TRY
136,TTD
137,TWD
138,TZS
139,UAH
140,UGX
141,USD
142,UYU
143,UZS
144,VES
145,VND
146,VUV
147,WST
148,XAF
149,XCD
150,XOF
151,XPF
152,YER
153,ZAR
154,ZMW
155,ZWL

